"","date","health_board","percent_beds_in_use_covid"
"325",2020-05-09,"Cwm Taf University Health Board",0.168900804289544
"326",2020-05-09,"Aneurin Bevan University Health Board",0.112685560053981
"327",2020-05-09,"Powys Teaching Health Board",0.102739726027397
"328",2020-05-09,"Velindre University NHS Trust",0.133333333333333
"329",2020-05-09,"Wales",0.12308939323761
"330",2020-05-10,"Betsi Cadwaladr University Health Board",0.186247969680563
"331",2020-05-10,"Hywel Dda University Health Board",0.0790305584826133
"332",2020-05-10,"Abertawe Bro Morgannwg University Health Board",0.117582417582418
"333",2020-05-10,"Cardiff and Vale University Health Board",0.0538783093358105
"334",2020-05-10,"Cwm Taf University Health Board",0.161751563896336
"335",2020-05-10,"Aneurin Bevan University Health Board",0.117408906882591
"336",2020-05-10,"Powys Teaching Health Board",0.089041095890411
"337",2020-05-10,"Velindre University NHS Trust",0.1
"338",2020-05-10,"Wales",0.117299675775822
"339",2020-05-11,"Betsi Cadwaladr University Health Board",0.173129437465866
"340",2020-05-11,"Hywel Dda University Health Board",0.0839454354669465
"341",2020-05-11,"Abertawe Bro Morgannwg University Health Board",0.115730337078652
"342",2020-05-11,"Cardiff and Vale University Health Board",0.0473757547607989
"343",2020-05-11,"Cwm Taf University Health Board",0.156222418358341
"344",2020-05-11,"Aneurin Bevan University Health Board",0.114035087719298
"345",2020-05-11,"Powys Teaching Health Board",0.102739726027397
"346",2020-05-11,"Velindre University NHS Trust",0.0666666666666667
"347",2020-05-11,"Wales",0.111974936180088
"348",2020-05-12,"Betsi Cadwaladr University Health Board",0.175895765472313
"349",2020-05-12,"Hywel Dda University Health Board",0.0848484848484849
"350",2020-05-12,"Abertawe Bro Morgannwg University Health Board",0.0923913043478261
"351",2020-05-12,"Cardiff and Vale University Health Board",0.0538783093358105
"352",2020-05-12,"Cwm Taf University Health Board",0.146513680494263
"353",2020-05-12,"Aneurin Bevan University Health Board",0.116311080523056
"354",2020-05-12,"Powys Teaching Health Board",0.127659574468085
"355",2020-05-12,"Velindre University NHS Trust",0.0666666666666667
"356",2020-05-12,"Wales",0.11129069498961
"357",2020-05-13,"Betsi Cadwaladr University Health Board",0.160493827160494
"358",2020-05-13,"Hywel Dda University Health Board",0.0708502024291498
"359",2020-05-13,"Abertawe Bro Morgannwg University Health Board",0.0763274336283186
"360",2020-05-13,"Cardiff and Vale University Health Board",0.0501625638643753
"361",2020-05-13,"Cwm Taf University Health Board",0.164165931156222
"362",2020-05-13,"Aneurin Bevan University Health Board",0.105299380591879
"363",2020-05-13,"Powys Teaching Health Board",0.128571428571429
"364",2020-05-13,"Velindre University NHS Trust",0.0666666666666667
"365",2020-05-13,"Wales",0.103387438249824
"366",2020-05-14,"Betsi Cadwaladr University Health Board",0.167847411444142
"367",2020-05-14,"Hywel Dda University Health Board",0.0649627263045793
"368",2020-05-14,"Abertawe Bro Morgannwg University Health Board",0.0725108225108225
"369",2020-05-14,"Cardiff and Vale University Health Board",0.0524849047840223
"370",2020-05-14,"Cwm Taf University Health Board",0.162400706090026
"371",2020-05-14,"Aneurin Bevan University Health Board",0.0984170681348933
"372",2020-05-14,"Powys Teaching Health Board",0.128571428571429
"373",2020-05-14,"Velindre University NHS Trust",0.0333333333333333
"374",2020-05-14,"Wales",0.103985128383874
"375",2020-05-15,"Betsi Cadwaladr University Health Board",0.176374523679913
"376",2020-05-15,"Hywel Dda University Health Board",0.0555555555555556
"377",2020-05-15,"Abertawe Bro Morgannwg University Health Board",0.0627099664053751
"378",2020-05-15,"Cardiff and Vale University Health Board",0.0436600092893637
"379",2020-05-15,"Cwm Taf University Health Board",0.140335392762577
"380",2020-05-15,"Aneurin Bevan University Health Board",0.0935994494150034
"381",2020-05-15,"Powys Teaching Health Board",0.120567375886525
"382",2020-05-15,"Velindre University NHS Trust",0.1
"383",2020-05-15,"Wales",0.0980643656716418
"384",2020-05-16,"Betsi Cadwaladr University Health Board",0.182561307901907
"385",2020-05-16,"Hywel Dda University Health Board",0.044711014176663
